from,to,weight
AG,8,2
ALae,1,1
ALae,9,2
ALen,1,1
ALen,10,2
AN,7,2
AS,3,2
AS,11,1
BP,4,3
CH,8,2
CN,5,2
DK,2,2
ES,5,2
ES,6,2
FM,7,2
GH,1,2
GH,9,2
GR,6,2
GR,12,1
HJS,7,2
HWe,4,2
HWo,8,2
HWo,9,2
JA,7,2
JA,11,1
KN,4,2
KR,2,2
KR,9,1
MKa,4,2
MKr,8,2
MKr,9,2
MM,1,1
MM,11,2
MP,1,3
MP,11,1
MV,3,2
MV,11,1
RPo,5,3
RPo,9,1
RPr,2,2
RPr,12,1
RW,7,2
SKam,2,2
SKam,9,1
SKap,2,2
SKap,13,1
SKoer,3,2
SKoer,11,1
ST,1,3
ST,9,1
